x,y,percent
952.742,259.407,94.6237
951.286,259.258,94.4086
949.826,259.174,94.1935
948.362,259.192,93.9785
946.919,259.416,93.7634
945.859,260.304,93.5484
946.426,261.611,93.3333
947.426,262.656,93.1183
948.498,263.632,92.9032
949.602,264.572,92.6882
950.722,265.488,92.4731
951.853,266.386,92.2581
952.993,267.271,92.043
954.142,268.149,91.828
955.298,269.019,91.6129
956.459,269.883,91.3978
957.624,270.741,91.1828
958.792,271.593,90.9677
959.963,272.441,90.7527
961.138,273.286,90.5376
962.316,274.127,90.3226
963.496,274.964,90.1075
964.678,275.799,89.8925
965.861,276.63,89.6774
967.046,277.459,89.4624
968.234,278.285,89.2473
969.423,279.109,89.0323
970.615,279.932,88.8172
971.808,280.753,88.6022
973.003,281.572,88.3871
974.199,282.39,88.172
975.397,283.205,87.957
976.595,284.018,87.7419
977.794,284.829,87.5269
978.993,285.638,87.3118
980.194,286.445,87.0968
981.394,287.251,86.8817
982.596,288.054,86.6667
983.799,288.856,86.4516
985.002,289.657,86.2366
986.206,290.455,86.0215
987.411,291.253,85.8065
988.617,292.049,85.5914
989.825,292.843,85.3763
991.033,293.636,85.1613
992.243,294.428,84.9462
993.454,295.218,84.7312
994.666,296.007,84.5161
995.88,296.795,84.3011
997.095,297.581,84.086
998.31,298.366,83.871
999.527,299.149,83.6559
1000.74,299.93,83.4409
1001.96,300.709,83.2258
1003.18,301.486,83.0108
1004.4,302.261,82.7957
1005.63,303.035,82.5806
1006.85,303.806,82.3656
1008.08,304.576,82.1505
1009.3,305.343,81.9355
1010.53,306.107,81.7204
1011.76,306.868,81.5054
1012.99,307.625,81.2903
1014.23,308.379,81.0753
1015.46,309.13,80.8602
1016.7,309.876,80.6452
1017.95,310.618,80.4301
1019.2,311.354,80.2151
1020.45,312.078,80
1021.38,312.591,80
1022.34,313.061,80
1023.32,313.49,80
1024.32,313.88,80
1025.33,314.231,80
1026.35,314.545,80
1027.38,314.823,80
1028.42,315.069,80
1029.47,315.282,80
1030.52,315.466,80
1031.58,315.622,80
1032.64,315.751,80
1033.71,315.857,80
1034.77,315.94,80
1035.84,316.002,80
1036.91,316.046,80
1037.98,316.071,80
1039.05,316.081,80
1040.12,316.077,80
1041.18,316.06,80
1042.25,316.032,80
1043.32,315.994,80
1044.39,315.949,80
1045.46,315.898,80
1046.53,315.843,80
1047.59,315.786,80
1048.66,315.73,80
1049.73,315.678,80
1050.8,315.634,80
1051.87,315.601,80
1052.94,315.586,80
1054.01,315.597,80
1055.08,315.646,80
1056.15,315.751,80
1057.2,315.939,80
1058.21,316.259,80
1059.14,316.798,80
1059.81,317.619,80
1060.09,318.64,80
1060.04,319.706,80
1059.8,320.746,80
1059.44,321.753,80
1059.01,322.732,80
1058.53,323.685,80
1058.01,324.614,80
1057.45,325.536,80
1056.79,326.56,80.1667
1056.07,327.573,80.3333
1055.33,328.56,80.5
1054.57,329.53,80.6667
1053.79,330.486,80.8333
1053,331.43,81
1052.19,332.364,81.1667
1051.38,333.288,81.3333
1050.56,334.203,81.5
1049.73,335.111,81.6667
1048.89,336.012,81.8333
1048.05,336.908,82
1047.2,337.798,82.1667
1046.35,338.685,82.3333
1045.49,339.568,82.5
1044.63,340.448,82.6667
1043.76,341.325,82.8333
1042.89,342.198,83
1042.01,343.068,83.1667
1041.14,343.935,83.3333
1040.26,344.799,83.5
1039.38,345.66,83.6667
1038.49,346.518,83.8333
1037.61,347.374,84
1036.72,348.227,84.1667
1035.83,349.077,84.3333
1034.94,349.925,84.5
1034.05,350.772,84.6667
1033.16,351.616,84.8333
1032.26,352.459,85
1031.36,353.301,85.1667
1030.46,354.141,85.3333
1029.56,354.981,85.5
1028.66,355.819,85.6667
1027.76,356.656,85.8333
1026.85,357.492,86
1025.95,358.327,86.1667
1025.04,359.16,86.3333
1024.13,359.992,86.5
1023.22,360.823,86.6667
1022.31,361.653,86.8333
1021.4,362.482,87
1020.49,363.31,87.1667
1019.58,364.137,87.3333
1018.67,364.963,87.5
1017.75,365.788,87.6667
1016.84,366.613,87.8333
1015.93,367.436,88
1015.01,368.259,88.1667
1014.09,369.082,88.3333
1013.18,369.904,88.5
1012.26,370.725,88.6667
1011.34,371.545,88.8333
1010.42,372.365,89
1009.5,373.184,89.1667
1008.58,374.003,89.3333
1007.66,374.821,89.5
1006.74,375.639,89.6667
1005.82,376.456,89.8333
1004.9,377.272,90
1003.98,378.089,90.1667
1003.05,378.904,90.3333
1002.13,379.72,90.5
1001.21,380.535,90.6667
1000.29,381.35,90.8333
999.362,382.164,91
998.438,382.978,91.1667
997.514,383.792,91.3333
996.59,384.605,91.5
995.665,385.418,91.6667
994.74,386.231,91.8333
993.815,387.044,92
992.89,387.856,92.1667
991.965,388.669,92.3333
991.04,389.481,92.5
990.114,390.292,92.6667
989.189,391.104,92.8333
988.263,391.916,93
987.337,392.728,93.1667
986.411,393.539,93.3333
985.485,394.351,93.5
984.559,395.163,93.6667
983.633,395.975,93.8333
982.707,396.786,94
981.781,397.598,94.1667
980.855,398.411,94.3333
979.929,399.223,94.5
979.003,400.035,94.6667
978.078,400.847,94.8333
977.153,401.659,95
976.229,402.471,95.1667
975.306,403.283,95.3333
974.382,404.095,95.5
973.459,404.908,95.6667
972.536,405.721,95.8333
971.613,406.535,96
970.69,407.35,96.1667
969.767,408.165,96.3333
968.845,408.982,96.5
967.922,409.799,96.6667
967.001,410.617,96.8333
966.079,411.436,97
965.158,412.257,97.1667
964.239,413.077,97.3333
963.32,413.899,97.5
962.403,414.721,97.6667
961.488,415.544,97.8333
960.575,416.368,98
959.663,417.193,98.1667
958.753,418.02,98.3333
957.844,418.849,98.5
956.936,419.681,98.6667
956.03,420.516,98.8333
955.127,421.354,99
954.225,422.196,99.1667
953.327,423.041,99.3333
952.434,423.89,99.5
951.543,424.746,99.6667
950.658,425.61,99.8333
949.791,426.471,100
949.432,426.831,99.8423
949.076,427.191,99.6845
948.722,427.55,99.5268
948.37,427.909,99.3691
948.02,428.268,99.2114
947.671,428.628,99.0536
947.322,428.989,98.8959
946.975,429.351,98.7382
946.629,429.715,98.5804
946.284,430.081,98.4227
945.94,430.448,98.265
945.598,430.817,98.1073
945.258,431.187,97.9495
944.92,431.558,97.7918
944.584,431.932,97.6341
944.25,432.309,97.4763
943.918,432.689,97.3186
943.589,433.071,97.1609
943.264,433.457,97.0032
942.945,433.843,96.8454
942.633,434.232,96.6877
942.326,434.625,96.53
942.025,435.026,96.3722
941.732,435.435,96.2145
941.45,435.856,96.0568
941.184,436.289,95.8991
940.945,436.737,95.7413
940.753,437.203,95.5836
940.658,437.695,95.4259
940.805,438.164,95.2681
941.238,438.406,95.1104
941.734,438.472,94.9527
942.235,438.471,94.795
942.739,438.448,94.6372
943.245,438.441,94.4795
943.737,438.534,94.3218
943.897,438.961,94.164
943.682,439.413,94.0063
943.393,439.819,93.8486
943.073,440.207,93.6909
942.732,440.588,93.5331
941.279,441.897,93.8143
939.703,443.082,94.0955
938.086,444.201,94.3766
936.444,445.285,94.6578
934.791,446.343,94.939
933.129,447.386,95.2201
931.457,448.42,95.5013
929.78,449.448,95.7825
928.103,450.47,96.0636
926.426,451.491,96.3448
924.75,452.514,96.626
923.075,453.541,96.9071
921.407,454.573,97.1883
919.748,455.614,97.4695
918.095,456.671,97.7507
916.45,457.754,98.0318
914.825,458.869,98.313
913.248,460.026,98.5942
911.736,461.281,98.8753
910.494,462.798,99.1565
911.69,463.872,99.4377
913.654,463.807,99.7188
915.599,463.534,100
917.84,463.126,100
920.081,462.682,100
922.316,462.22,100
924.543,461.745,100
926.763,461.261,100
928.983,460.769,100
931.206,460.27,100
933.428,459.765,100
935.647,459.254,100
937.866,458.739,100
940.084,458.22,100
942.302,457.697,100
944.518,457.17,100
946.733,456.639,100
948.947,456.106,100
951.16,455.569,100
953.374,455.028,100
955.587,454.484,100
957.8,453.938,100
960.011,453.388,100
962.22,452.836,100
964.429,452.281,100
966.636,451.722,100
968.843,451.161,100
971.049,450.597,100
973.256,450.03,100
975.461,449.459,100
977.666,448.886,100
979.87,448.309,100
982.073,447.73,100
984.275,447.147,100
986.476,446.561,100
988.676,445.971,100
990.875,445.378,100
993.073,444.781,100
995.27,444.181,100
997.467,443.577,100
999.662,442.968,100
1001.86,442.356,100
1004.05,441.739,100
1006.24,441.118,100
1008.43,440.492,100
1010.62,439.861,100
1012.8,439.224,100
1014.99,438.582,100
1017.17,437.934,100
1019.36,437.279,100
1021.54,436.617,100
1023.71,435.947,100
1025.89,435.271,100
1028.06,434.585,100
1030.23,433.89,100
1032.4,433.184,100
1034.56,432.467,100
1036.72,431.736,100
1038.87,430.991,100
1041.01,430.229,100
1043.15,429.446,100
1045.29,428.64,100
1047.4,427.806,100
1049.51,426.935,100
1051.59,426.017,100
1053.65,425.033,100
1055.65,423.95,100
1057.55,422.686,100
1058.98,420.959,100
1055.36,418.146,100.769
1050.49,417.042,101.538
1045.57,416.307,102.308
1040.62,415.745,103.077
1035.66,415.287,103.846
1030.69,414.898,104.615
1025.72,414.557,105.385
1020.74,414.252,106.154
1015.76,413.973,106.923
1010.79,413.712,107.692
1005.81,413.464,108.462
1000.83,413.223,109.231
995.85,412.986,110
990.871,412.748,110.769
985.893,412.505,111.538
980.915,412.253,112.308
975.94,411.986,113.077
970.964,411.698,113.846
965.986,411.382,114.615
961.014,411.03,115.385
956.046,410.626,116.154
951.084,410.151,116.923
946.134,409.57,117.692
941.212,408.819,118.462
936.35,407.722,119.231
932.144,405.294,120
934.339,401.928,119.565
938,399.713,119.13
941.839,397.853,118.696
945.77,396.159,118.261
949.746,394.573,117.826
953.739,393.065,117.391
957.752,391.611,116.957
961.787,390.196,116.522
965.833,388.814,116.087
969.884,387.458,115.652
973.944,386.123,115.217
978.01,384.804,114.783
982.08,383.498,114.348
986.153,382.202,113.913
990.228,380.914,113.478
994.306,379.63,113.043
998.382,378.348,112.609
1002.46,377.065,112.174
1006.53,375.778,111.739
1010.61,374.481,111.304
1014.68,373.172,110.87
1018.74,371.842,110.435
1022.79,370.482,110
1026.83,369.074,109.565
1030.83,367.586,109.13
1034.77,365.926,108.696
1037.8,363.386,108.261
1032.2,362.687,108.771
1026.5,362.934,109.282
1020.8,363.377,109.792
1015.12,363.917,110.302
1009.44,364.52,110.813
1003.75,365.167,111.323
998.075,365.845,111.834
992.413,366.546,112.344
986.751,367.266,112.854
981.084,368.002,113.365
975.42,368.75,113.875
969.758,369.507,114.386
964.096,370.271,114.896
958.435,371.04,115.406
952.777,371.81,115.917
947.118,372.581,116.427
941.453,373.35,116.938
935.789,374.112,117.448
930.127,374.863,117.958
924.459,375.594,118.469
918.791,376.29,118.979
913.115,376.91,119.49
907.438,377.059,120
911.549,375.758,119.369
915.833,374.87,118.739
920.134,374.046,118.108
924.441,373.252,117.477
928.75,372.475,116.847
933.062,371.709,116.216
937.374,370.95,115.586
941.69,370.194,114.955
946.007,369.439,114.324
950.32,368.686,113.694
954.631,367.931,113.063
958.943,367.174,112.432
963.256,366.413,111.802
967.568,365.646,111.171
971.878,364.874,110.541
976.187,364.095,109.91
980.495,363.306,109.279
984.801,362.507,108.649
989.101,361.697,108.018
993.399,360.871,107.387
997.697,360.027,106.757
1001.99,359.161,106.126
1006.28,358.267,105.495
1010.56,357.339,104.865
1014.83,356.364,104.234
1019.09,355.322,103.604
1023.3,354.173,102.973
1027.47,352.806,102.342
1030.75,350.37,101.712
1023.83,348.533,101.626
1016.6,347.869,101.541
1009.35,347.436,101.455
1002.09,347.116,101.369
994.839,346.862,101.284
987.578,346.649,101.198
980.317,346.464,101.113
973.059,346.295,101.027
965.797,346.134,100.941
958.537,345.975,100.856
951.277,345.81,100.77
944.016,345.633,100.685
936.758,345.436,100.599
929.498,345.211,100.514
922.24,344.943,100.428
914.984,344.614,100.342
907.736,344.192,100.257
900.495,343.615,100.171
893.29,342.711,100.086
887.586,339.782,100
894.032,336.565,100
900.97,334.415,100
907.987,332.547,100
915.045,330.827,100
922.12,329.202,100
929.215,327.642,100
936.317,326.131,100
943.429,324.659,100
950.55,323.216,100
957.672,321.798,100
964.796,320.4,100
971.924,319.018,100
979.056,317.65,100
986.188,316.292,100
993.321,314.942,100
1000.46,313.599,100
1007.6,312.258,100
1014.74,310.919,100
1021.88,309.58,100
1029.01,308.239,100
1036.15,306.891,100
1043.28,305.533,100
1050.41,304.16,100
1057.54,302.766,100
1064.66,301.337,100
1071.77,299.856,100
1080.05,298.24,98.6111
1088.38,296.876,97.2222
1096.74,295.712,95.8333
1105.12,294.706,94.4444
1113.5,293.816,93.0556
1121.9,293,91.6667
1130.31,292.214,90.2778
1138.7,291.405,88.8889
1147.09,290.494,87.5
1155.45,289.36,86.1111
1163.74,287.747,84.7222
1171.67,284.918,83.3333
1175.67,278.235,81.9444
1172.27,273.104,81.8599
1167.55,269.036,81.7754
1162.49,265.416,81.6908
1157.24,262.037,81.6063
1151.9,258.822,81.5217
1146.5,255.729,81.4372
1141.05,252.72,81.3527
1135.56,249.775,81.2681
1130.04,246.884,81.1836
1124.5,244.037,81.099
1118.94,241.224,81.0145
1113.37,238.44,80.93
1107.79,235.678,80.8454
1102.2,232.93,80.7609
1096.6,230.192,80.6763
1091,227.457,80.5918
